Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
CREATE,,self care,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,mindfulness,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,mental health app,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,anxiety relief,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,stress relief,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,self improvement,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,procrastination,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,overthinking,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,habit tracker,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,morning routine,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,sleep better,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,anger management,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,meditation app,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,self help,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,focus app,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,self care free,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,mindfulness free,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,meditation free,BROAD,ACTIVE,106.0,2143331128,2145142841
CREATE,,mental health free,BROAD,ACTIVE,106.0,2143331128,2145142841
