Action,Keyword ID,Keyword,Match Type,Status,Bid,Campaign ID,Ad Group ID
UPDATE,2205596599,集中 アプリ,BROAD,ACTIVE,150.0,2143249334,2144994932
UPDATE,2205596592,強迫性障害,BROAD,PAUSED,100.0,2143249334,2144994932
UPDATE,2205594112,目標管理,BROAD,ACTIVE,80.0,2143249334,2144994932
UPDATE,2205594109,自己啓発 アプリ,BROAD,PAUSED,150.0,2143249334,2144994932
UPDATE,2205594105,メンタルヘルス アプリ,BROAD,ACTIVE,200.0,2143249334,2144994932
UPDATE,2205594104,行動変容,BROAD,ACTIVE,150.0,2143249334,2144994932
UPDATE,2205594103,自己改善アプリ,BROAD,ACTIVE,150.0,2143249334,2144994932
UPDATE,2205594102,朝活アプリ,BROAD,ACTIVE,150.0,2143249334,2144994932
UPDATE,2205594101,ルーティンアプリ,BROAD,ACTIVE,150.0,2143249334,2144994932
UPDATE,2205594100,習慣トラッカー,BROAD,ACTIVE,150.0,2143249334,2144994932
UPDATE,2205594099,習慣アプリ,BROAD,ACTIVE,150.0,2143249334,2144994932
CREATE,,セルフケア 無料,BROAD,ACTIVE,100.0,2143249334,2144994932
CREATE,,マインドフルネス 無料,BROAD,ACTIVE,100.0,2143249334,2144994932
CREATE,,メンタルヘルス 無料,BROAD,ACTIVE,100.0,2143249334,2144994932
CREATE,,不安 アプリ,BROAD,ACTIVE,100.0,2143249334,2144994932
CREATE,,ストレス 解消 アプリ,BROAD,ACTIVE,100.0,2143249334,2144994932
