Keyword,Popularity,Competitiveness,# Apps,Headspace: Meditation & Sleep,Habitify: Habit Tracker,Fabulous: Daily Habit Tracker
habit tracker,69,85,234,,20,11
habit   tracker,69,74,234,,20,11
sleep tracker,67,91,229,156,,
calm,67,96,240,2,,
journal,67,84,234,,,44
電話,66,65,193,178,,
y,65,100,224,207,,
sleep,63,94,225,11,,
habıt tracker,63,62,243,,10,1
headway,63,93,208,,,31
heads up free,62,88,214,173,,
sleep number app,62,84,201,71,,
free,61,100,214,136,,
Habit  Tracker,60,68,234,,20,11
motivation,60,85,223,,,25
focus,59,63,239,165,,
habit,59,69,217,,21,18
better sleep,58,79,225,48,,
better  sleep,58,74,228,51,,
habitica,58,90,223,,13,7
meditation,57,96,221,1,,
betterhelp,57,82,198,4,,
7shifts,57,63,56,43,,
reminder,57,96,216,,,162
h,56,98,226,98,,
